index,top_pairs,processed_func
39145,"[(180721, 24.61909432666049), (179901, 24.1671558630308), (180423, 22.966358962312945), (180720, 22.49074064977322), (178854, 21.672837003843348), (180139, 20.79199588435966), (179440, 20.229476251626142), (179387, 20.174366248494984), (180663, 19.506072604170395), (180148, 19.41871191985191), (179441, 18.492309046734146), (186926, 18.159809259734825), (180713, 17.76781741999878), (178216, 17.48687082187669), (180717, 17.34190233087363), (178381, 17.20205414894424), (180097, 16.7117298691933), (187491, 16.476845836705046), (180709, 16.39920962014928), (179493, 16.24288361343444)]","static int nfs_commit_unstable_pages(struct inode *inode, struct writeback_control *wbc)
{
	struct nfs_inode *nfsi = NFS_I(inode);
	int flags = FLUSH_SYNC;
	int ret = 0;

	/* no commits means nothing needs to be done */
	if (!nfsi->commit_info.ncommit)
		return ret;

	if (wbc->sync_mode == WB_SYNC_NONE) {
		/* Don't commit yet if this is a non-blocking flush and there
		 * are a lot of outstanding writes for this mapping.
		 */
		if (nfsi->commit_info.ncommit <= (nfsi->npages >> 1))
			goto out_mark_dirty;

		/* don't wait for the COMMIT response */
		flags = 0;
	}

	ret = nfs_commit_inode(inode, flags);
	if (ret >= 0) {
		if (wbc->sync_mode == WB_SYNC_NONE) {
			if (ret < wbc->nr_to_write)
				wbc->nr_to_write -= ret;
			else
				wbc->nr_to_write = 0;
		}
		return 0;
	}
out_mark_dirty:
	__mark_inode_dirty(inode, I_DIRTY_DATASYNC);
	return ret;
}
"
138077,"[(185807, 58.56032954045644), (185806, 56.88803774517477), (183488, 54.3829550220354), (181166, 52.091378457982586), (185808, 51.793050087471435), (187352, 43.15587260078191), (185792, 41.93641587379477), (187796, 37.64785637053068), (182578, 36.782072480761435), (185796, 35.49472390496208), (182579, 34.463681650933594), (184271, 34.404839636342366), (185649, 32.238980616405115), (187346, 32.200151791776705), (182784, 31.331375182910175), (185157, 30.93541240853594), (181169, 30.527691115758255), (185804, 30.374858785609586), (183899, 29.95913765382173), (183900, 28.60625210536767)]","bool AXNodeObject::isNativeImage() const {
  Node* node = this->getNode();
  if (!node)
    return false;

  if (isHTMLImageElement(*node))
    return true;

  if (isHTMLPlugInElement(*node))
    return true;

  if (isHTMLInputElement(*node))
    return toHTMLInputElement(*node).type() == InputTypeNames::image;

  return false;
}
"
149186,"[(185323, 25.520936303360415), (185324, 23.123430678882826), (186308, 22.42803044558571), (186309, 22.000804557367015), (185684, 19.051584244500248), (185686, 14.607364081898739), (185369, 13.787304150564033), (185723, 13.631207959446204), (185724, 12.762512513378699), (185325, 12.59320061972811), (185669, 12.316375046040303), (186306, 11.93431965039438), (185683, 11.889103001209223), (185342, 11.51317468075698), (187733, 11.505189476057293), (185708, 11.353020607727535), (187322, 11.082501812349545), (185679, 10.981872962836412), (183455, 8.930598385595136), (187614, 8.149599892409833)]","void LockScreenMediaControlsView::UpdateDrag(
    const gfx::Point& location_in_screen) {
  is_in_drag_ = true;
  int drag_delta = location_in_screen.y() - initial_drag_point_.y();

  if (contents_view_->bounds().bottom() + drag_delta >=
      GetLocalBounds().bottom()) {
    return;
  }

  gfx::Transform transform;
  transform.Translate(0, drag_delta);
  contents_view_->layer()->SetTransform(transform);
  UpdateOpacity();
}
"
114150,"[(180295, 15.195987825795143), (182552, 14.409343298009835), (184541, 13.427759871856884), (179505, 13.089617109533206), (180923, 12.225777077043626), (186342, 11.269306904853742), (185263, 10.580811044201893), (180922, 10.490079816001469), (180919, 10.440494582150928), (185399, 10.317571875625042), (185249, 8.715543087868303), (187485, 8.546285203498263), (183556, 8.409728245252705), (185402, 8.284807281718066), (186613, 8.100361429097008), (186863, 6.483628441331955), (177895, 6.314880014151861), (187018, 5.92085418687265), (179014, 5.801917176380524), (178164, 5.765393441708715)]","DWORD StartRestrictedProcessInJob(wchar_t *command_line,
                                  TokenLevel primary_level,
                                  TokenLevel impersonation_level,
                                  JobLevel job_level,
                                  HANDLE *const job_handle_ret) {
  Job job;
  DWORD err_code = job.Init(job_level, NULL, 0);
  if (ERROR_SUCCESS != err_code)
    return err_code;

  if (JOB_UNPROTECTED != job_level) {
    err_code = job.UserHandleGrantAccess(GetDesktopWindow());
    if (ERROR_SUCCESS != err_code)
      return err_code;
  }

  HANDLE primary_token_handle = NULL;
  err_code = CreateRestrictedToken(&primary_token_handle,
                                   primary_level,
                                   INTEGRITY_LEVEL_LAST,
                                   PRIMARY);
  if (ERROR_SUCCESS != err_code) {
    return err_code;
  }
  base::win::ScopedHandle primary_token(primary_token_handle);

  HANDLE impersonation_token_handle;
  err_code = CreateRestrictedToken(&impersonation_token_handle,
                                   impersonation_level,
                                   INTEGRITY_LEVEL_LAST,
                                   IMPERSONATION);
  if (ERROR_SUCCESS != err_code) {
    return err_code;
  }
  base::win::ScopedHandle impersonation_token(impersonation_token_handle);

  STARTUPINFO startup_info = {0};
  base::win::ScopedProcessInformation process_info;

  if (!::CreateProcessAsUser(primary_token.Get(),
                             NULL,   // No application name.
                             command_line,
                             NULL,   // No security attribute.
                             NULL,   // No thread attribute.
                             FALSE,  // Do not inherit handles.
                             CREATE_SUSPENDED | CREATE_BREAKAWAY_FROM_JOB,
                             NULL,   // Use the environment of the caller.
                             NULL,   // Use current directory of the caller.
                             &startup_info,
                             process_info.Receive())) {
    return ::GetLastError();
  }

  {
    HANDLE temp_thread = process_info.thread_handle();
    if (!::SetThreadToken(&temp_thread, impersonation_token.Get())) {
      ::TerminateProcess(process_info.process_handle(),
                         0);  // exit code
      return ::GetLastError();
    }
  }

  err_code = job.AssignProcessToJob(process_info.process_handle());
  if (ERROR_SUCCESS != err_code) {
    ::TerminateProcess(process_info.process_handle(),
                       0);  // exit code
    return ::GetLastError();
  }

  ::ResumeThread(process_info.thread_handle());

  (*job_handle_ret) = job.Detach();

  return ERROR_SUCCESS;
}
"
115714,"[(184652, 29.372929929113777), (184648, 26.779371157609877), (184653, 25.889126014879), (185487, 23.30842080442985), (182651, 17.64633450232776), (184650, 15.298660836528027), (184944, 13.51430922843669), (178114, 13.105580637640282), (184948, 10.85668033020617), (184578, 9.826348468844126), (184629, 9.61063126732497), (184281, 8.96320357236299), (185965, 8.882016254153138), (181471, 8.829507214245236), (185962, 8.49198143555781), (181677, 8.28476298031547), (182504, 8.126851428500107), (178593, 8.107759588922297), (184631, 8.04420846114841), (187468, 7.967789552553463)]","void ScreenRecorder::EncodedDataAvailableCallback(VideoPacket* packet) {
  DCHECK_EQ(encode_loop_, MessageLoop::current());

  if (encoder_stopped_)
    return;

  bool last = (packet->flags() & VideoPacket::LAST_PACKET) != 0;
  if (last) {
    base::TimeDelta encode_time = base::Time::Now() - encode_start_time_;
    int encode_time_ms =
        static_cast<int>(encode_time.InMilliseconds());
    packet->set_encode_time_ms(encode_time_ms);
    scheduler_.RecordEncodeTime(encode_time);
  }

  network_loop_->PostTask(
      FROM_HERE, base::Bind(&ScreenRecorder::DoSendVideoPacket, this, packet));
}
"
157644,"[(185048, 18.896336133675252), (181313, 18.305622239056884), (179903, 17.73750735137247), (186114, 17.66876142585297), (186425, 17.50690896135555), (187294, 17.050256695307105), (184761, 16.738890831625124), (179904, 16.017795204765157), (184819, 15.238560575498145), (184809, 15.164625609076698), (184808, 15.158364408541077), (184793, 14.465768915903098), (184823, 14.253947847590299), (184764, 14.111692741858525), (184781, 14.069689670560075), (184818, 13.950980779751546), (186916, 13.93633432858735), (178180, 13.825423394559062), (179391, 13.655026399992165), (184767, 13.481888688224206)]","  std::string RunCreateWindowExpectError(const std::string& args) {
    scoped_refptr<WindowsCreateFunction> function(new WindowsCreateFunction);
    function->set_extension(ExtensionBuilder(""Test"").Build().get());
    return api_test_utils::RunFunctionAndReturnError(function.get(), args,
                                                     browser()->profile());
  }
"
4188,"[(182324, 29.29107022003125), (181494, 21.85094002657563), (177749, 14.935185781702812), (182516, 14.599561433007239), (178510, 9.113736295527495), (178019, 8.617022785415065), (178406, 8.46967913658729), (181926, 6.672279964997021), (181887, 6.672181237097641), (178512, 6.395530024310254), (182202, 5.208194745852711), (188269, 4.905376089553762), (188131, 4.803793428763699), (184223, 4.7645092692992215), (186659, 4.475581539727225), (177764, 4.2323900798632135), (177763, 4.211783649674043), (178375, 4.193779555683524), (177757, 4.142572619362171), (177761, 4.142442332685051)]","  tt_cmap4_get_info( TT_CMap       cmap,
                     TT_CMapInfo  *cmap_info )
  {
    FT_Byte*  p = cmap->data + 4;


    cmap_info->format = 4;
    cmap_info->language = (FT_ULong)TT_PEEK_USHORT( p );

    return SFNT_Err_Ok;
  }
"
145230,"[(183561, 79.27269105205409), (184386, 78.37194824602334), (184212, 77.8283602005079), (184214, 74.5730483243003), (185428, 69.78490588217029), (185767, 67.18637354462074), (183504, 66.70859112782026), (184299, 45.67846458952266), (184560, 27.174673665921084), (183917, 6.200320671118437), (187738, 4.83006280522221), (184505, 4.220603276454318), (187167, 3.9939553610781364), (186859, 3.9491004720797704), (186214, 3.9412674958452762), (184731, 3.711210747321202), (187168, 3.7070408191321356), (186458, 3.4472281169453938), (181416, 3.4185043520169893), (180703, 3.3060158899220435)]","bool Dispatcher::OnControlMessageReceived(const IPC::Message& message) {
  bool handled = true;
  IPC_BEGIN_MESSAGE_MAP(Dispatcher, message)
  IPC_MESSAGE_HANDLER(ExtensionMsg_ActivateExtension, OnActivateExtension)
  IPC_MESSAGE_HANDLER(ExtensionMsg_CancelSuspend, OnCancelSuspend)
  IPC_MESSAGE_HANDLER(ExtensionMsg_DeliverMessage, OnDeliverMessage)
  IPC_MESSAGE_HANDLER(ExtensionMsg_DispatchOnConnect, OnDispatchOnConnect)
  IPC_MESSAGE_HANDLER(ExtensionMsg_DispatchOnDisconnect, OnDispatchOnDisconnect)
  IPC_MESSAGE_HANDLER(ExtensionMsg_Loaded, OnLoaded)
  IPC_MESSAGE_HANDLER(ExtensionMsg_MessageInvoke, OnMessageInvoke)
  IPC_MESSAGE_HANDLER(ExtensionMsg_SetChannel, OnSetChannel)
  IPC_MESSAGE_HANDLER(ExtensionMsg_SetScriptingWhitelist,
                      OnSetScriptingWhitelist)
  IPC_MESSAGE_HANDLER(ExtensionMsg_SetSystemFont, OnSetSystemFont)
  IPC_MESSAGE_HANDLER(ExtensionMsg_SetWebViewPartitionID,
                      OnSetWebViewPartitionID)
  IPC_MESSAGE_HANDLER(ExtensionMsg_ShouldSuspend, OnShouldSuspend)
  IPC_MESSAGE_HANDLER(ExtensionMsg_Suspend, OnSuspend)
  IPC_MESSAGE_HANDLER(ExtensionMsg_TransferBlobs, OnTransferBlobs)
  IPC_MESSAGE_HANDLER(ExtensionMsg_Unloaded, OnUnloaded)
  IPC_MESSAGE_HANDLER(ExtensionMsg_UpdatePermissions, OnUpdatePermissions)
  IPC_MESSAGE_HANDLER(ExtensionMsg_UpdateTabSpecificPermissions,
                      OnUpdateTabSpecificPermissions)
  IPC_MESSAGE_HANDLER(ExtensionMsg_ClearTabSpecificPermissions,
                      OnClearTabSpecificPermissions)
  IPC_MESSAGE_HANDLER(ExtensionMsg_UsingWebRequestAPI, OnUsingWebRequestAPI)
  IPC_MESSAGE_FORWARD(ExtensionMsg_WatchPages,
                      content_watcher_.get(),
                      ContentWatcher::OnWatchPages)
  IPC_MESSAGE_UNHANDLED(handled = false)
  IPC_END_MESSAGE_MAP()

  return handled;
}
"
23187,"[(183147, 25.223309161908258), (184349, 23.402265041289645), (178692, 21.7032097312366), (181211, 20.450306851533643), (181713, 20.038362192634583), (178884, 18.13905769044005), (184345, 17.710748176839772), (178861, 17.646241005168516), (181672, 16.84781756547521), (184867, 16.18700775278574), (180023, 15.983368725081752), (179671, 15.935550671428231), (178882, 15.930585828255783), (178883, 15.904789613767656), (177885, 15.75662566095241), (182949, 15.419922398423875), (178877, 15.161263014701525), (179274, 15.109788628304372), (179200, 15.079266567185348), (179694, 15.060320022858681)]","static int nfs41_test_stateid(struct nfs_server *server, struct nfs4_state *state)
{
	struct nfs4_exception exception = { };
	int err;
	do {
		err = nfs4_handle_exception(server,
				_nfs41_test_stateid(server, state),
				&exception);
	} while (exception.retry);
	return err;
}
"
106897,"[(183900, 18.566122382704844), (183496, 17.911320826677663), (179310, 17.582365580904533), (183484, 17.291847979210434), (183721, 14.742717510453648), (181864, 13.898676347391648), (187958, 13.343935196182882), (177765, 12.509173369636759), (187709, 11.952907372518652), (177795, 11.915225216497399), (185604, 11.704504203161436), (185164, 11.384528042521007), (182886, 10.921288472554869), (185729, 10.175915252351988), (185800, 9.907017280641076), (182564, 9.903088049978646), (181646, 9.869562246058644), (178679, 9.573395656769703), (178669, 9.559707126945147), (185662, 9.555362884269313)]","bool RenderBox::nodeAtPoint(const HitTestRequest& request, HitTestResult& result, const LayoutPoint& pointInContainer, const LayoutPoint& accumulatedOffset, HitTestAction action)
{
    LayoutPoint adjustedLocation = accumulatedOffset + location();

    for (RenderObject* child = lastChild(); child; child = child->previousSibling()) {
        if (!child->hasLayer() && child->nodeAtPoint(request, result, pointInContainer, adjustedLocation, action)) {
            updateHitTestResult(result, pointInContainer - toLayoutSize(adjustedLocation));
            return true;
        }
    }

    LayoutRect boundsRect(adjustedLocation, size());
    if (visibleToHitTesting() && action == HitTestForeground && boundsRect.intersects(result.rectForPoint(pointInContainer))) {
        updateHitTestResult(result, pointInContainer - toLayoutSize(adjustedLocation));
        if (!result.addNodeToRectBasedTestResult(node(), pointInContainer, boundsRect))
            return true;
    }

    return false;
}
"
